topic,top_words
1,"ai, students, generative, intelligence, artificial, artificial intelligence, education, generative ai, teaching, research, undergraduate, genai, generative artificial, based, study"
2,"perceived, genai, use, students, acceptance, model, intention, technology, study, generative, adoption, factors, education, university, university students"
3,"chatgpt, students, study, use, academic, tools, ai, university, education, research, using, learning, perceptions, ai tools, university students"
4,"chatgpt, medical, ai, models, generated, students, study, human, undergraduate, clinical, questions, assessment, based, large, language"
5,"ai, students, use, academic, generative, university, study, self, artificial, artificial intelligence, intelligence, university students, analysis, generative ai, higher"
6,"ai, genai, students, critical, generative, thinking, academic, education, higher, ethical, literacy, study, generative ai, higher education, critical thinking"
7,"writing, ai, language, english, feedback, students, study, efl, learners, chatgpt, learning, university, language learning, findings, academic writing"
8,"research, work, use, al, et, review, la, et al, data, 2024, information, authors, 2023, university, studies"
9,"group, experimental, learning, chatgpt, test, control, design, study, post, based, students, programming, significant, control group, pre"
10,"learning, ai, education, tools, engagement, educational, outcomes, student, review, research, students, teaching, ai tools, technology, personalized"
