topic,social_semantic_similarity,papers,top_words
8,0.41125455,130,"chatgpt, university, of, students, on, in, and, dil, exploring, the"
19,0.3747815,31,"genai, motivation, learning, language, and, fle, emotional, the, in, efl"
18,0.35396802,33,"plagiarism, academic, of, chatgpt, the, and, students, use, to, in"
17,0.34343642,45,"assessment, and, the, ai, of, in, to, genai, education, generative"
7,0.3336871,134,"self, and, ai, learning, the, generative, of, students, academic, with"
2,0.3325099,280,"language, the, and, english, of, in, learning, to, chatgpt, speaking"
5,0.33239686,171,"intention, the, and, of, acceptance, perceived, use, adoption, generative, genai"
3,0.3147508,197,"chatgpt, the, of, and, use, students, to, in, perceived, intention"
6,0.30016604,168,"creative, design, creativity, and, the, ai, in, of, generative, to"
13,0.29021055,71,"thinking, critical, ai, and, the, students, of, cognitive, on, generative"
10,0.2885242,114,"the, chatgpt, of, and, to, students, in, learning, ai, this"
9,0.27169004,121,"ethical, and, ai, of, academic, students, the, in, use, ethics"
16,0.2673505,46,"ai, of, and, the, intelligence, artificial, students, tools, academic, in"
0,0.2578752,592,"writing, the, and, feedback, in, of, ai, students, chatgpt, to"
14,0.25281176,51,"entrepreneurial, entrepreneurship, the, and, students, education, of, digital, innovation, ai"
4,0.2480678,177,"programming, the, and, in, to, of, learning, students, for, with"
12,0.24432945,109,"the, and, of, to, in, genai, ai, students, generative, for"
11,0.23167413,114,"generative, ai, of, on, artificial, students, intelligence, university, in, and"
15,0.22596698,47,"translation, and, the, in, of, ai, students, tools, to, study"
1,0.19616136,426,"and, medical, the, of, in, to, for, clinical, ai, with"
