topic,top_words
0,"writing, the, and, feedback, in, of, ai, students, chatgpt, to"
1,"and, medical, the, of, in, to, for, clinical, ai, with"
2,"language, the, and, english, of, in, learning, to, chatgpt, speaking"
3,"chatgpt, the, of, and, use, students, to, in, perceived, intention"
4,"programming, the, and, in, to, of, learning, students, for, with"
5,"intention, the, and, of, acceptance, perceived, use, adoption, generative, genai"
6,"creative, design, creativity, and, the, ai, in, of, generative, to"
7,"self, and, ai, learning, the, generative, of, students, academic, with"
8,"chatgpt, university, of, students, on, in, and, dil, exploring, the"
9,"ethical, and, ai, of, academic, students, the, in, use, ethics"
10,"the, chatgpt, of, and, to, students, in, learning, ai, this"
11,"generative, ai, of, on, artificial, students, intelligence, university, in, and"
12,"the, and, of, to, in, genai, ai, students, generative, for"
13,"thinking, critical, ai, and, the, students, of, cognitive, on, generative"
14,"entrepreneurial, entrepreneurship, the, and, students, education, of, digital, innovation, ai"
15,"translation, and, the, in, of, ai, students, tools, to, study"
16,"ai, of, and, the, intelligence, artificial, students, tools, academic, in"
17,"assessment, and, the, ai, of, in, to, genai, education, generative"
18,"plagiarism, academic, of, chatgpt, the, and, students, use, to, in"
19,"genai, motivation, learning, language, and, fle, emotional, the, in, efl"
