title,author,year,citation_count,open_access,date,abstract,_title_norm,_citations,_text,lda_topic,bertopic_topic,sim_peer_interaction,sim_interpersonal_communication,sim_social_connectedness,sim_human_ai_relationship,sim_social_behavior,social_max_similarity,social_mean_similarity
When Machines Become Listeners: Emotional Intimacy of Human with AI,Christy Gabriella Hutagalung|Ilyas Dzaky Almahdy|Kamila Putri Nursyahbani|Muhammad Farhan Indra|Novita Nurafifah|Elizabeth Kristi Poerwandari,2026,0,Open Access,2026-05-10,"The rapid integration of Artificial Intelligence (AI) into daily life has expanded its role from technical assistance to emotional companionship among young adults. This study aims to explore subjective experiences of emotional intimacy with generative AI chatbots, such as ChatGPT. Employing an interpretive qualitative design and reflexive thematic analysis, semi-structured interviews were conducted with five participants, including university students and early-career professionals. Four primary themes emerged: AI as an emotionally safe space, the attainment of validation and psychological relief, AI’s role as a partner for cognitive reflection, and the critical awareness of its limitations and ethical risks. The findings indicate that while AI facilitates short-term emotion regulation through non-judgmental availability, users maintain a clear distinction between algorithmic empathy and authentic human connection. This research underscores the necessity of emotional digital literacy and suggests that AI should be integrated as a complementary scaffold, rather than a substitute, for professional mental health support and interpersonal relationships.Penelitian ini dilatarbelakangi oleh pergeseran fungsi kecerdasan buatan (AI) dari sekadar alat produktivitas menjadi mitra interaksi emosional di kalangan dewasa muda. Tujuan penelitian ini adalah untuk mengeksplorasi pengalaman subjektif individu dalam membangun keintiman emosional dengan chatbot AI generatif seperti ChatGPT. Dengan menggunakan desain kualitatif interpretatif dan analisis tematik refleksif, wawancara semi-terstruktur dilakukan terhadap lima partisipan yang terdiri atas mahasiswa dan profesional awal karier. Hasil penelitian mengidentifikasi empat tema utama: AI sebagai ruang aman emosional, pencapaian validasi dan kelegaan psikologis, fungsi AI sebagai mitra refleksi kognitif, serta kesadaran kritis terhadap batasan etika dan risiko ketergantungan. Temuan ini menunjukkan bahwa meskipun AI efektif dalam membantu regulasi emosi jangka pendek, pengguna tetap mempertahankan batasan antara hubungan artifisial dan autentik. Implikasi penelitian ini menekankan pentingnya literasi digital emosional dan integrasi AI sebagai instrumen pendukung, bukan pengganti, dalam layanan kesehatan mental dan pendidikan.",when machines become listeners emotional intimacy of human with ai,0,"When Machines Become Listeners: Emotional Intimacy of Human with AI. The rapid integration of Artificial Intelligence (AI) into daily life has expanded its role from technical assistance to emotional companionship among young adults. This study aims to explore subjective experiences of emotional intimacy with generative AI chatbots, such as ChatGPT. Employing an interpretive qualitative design and reflexive thematic analysis, semi-structured interviews were conducted with five participants, including university students and early-career professionals. Four primary themes emerged: AI as an emotionally safe space, the attainment of validation and psychological relief, AI’s role as a partner for cognitive reflection, and the critical awareness of its limitations and ethical risks. The findings indicate that while AI facilitates short-term emotion regulation through non-judgmental availability, users maintain a clear distinction between algorithmic empathy and authentic human connection. This research underscores the necessity of emotional digital literacy and suggests that AI should be integrated as a complementary scaffold, rather than a substitute, for professional mental health support and interpersonal relationships.Penelitian ini dilatarbelakangi oleh pergeseran fungsi kecerdasan buatan (AI) dari sekadar alat produktivitas menjadi mitra interaksi emosional di kalangan dewasa muda. Tujuan penelitian ini adalah untuk mengeksplorasi pengalaman subjektif individu dalam membangun keintiman emosional dengan chatbot AI generatif seperti ChatGPT. Dengan menggunakan desain kualitatif interpretatif dan analisis tematik refleksif, wawancara semi-terstruktur dilakukan terhadap lima partisipan yang terdiri atas mahasiswa dan profesional awal karier. Hasil penelitian mengidentifikasi empat tema utama: AI sebagai ruang aman emosional, pencapaian validasi dan kelegaan psikologis, fungsi AI sebagai mitra refleksi kognitif, serta kesadaran kritis terhadap batasan etika dan risiko ketergantungan. Temuan ini menunjukkan bahwa meskipun AI efektif dalam membantu regulasi emosi jangka pendek, pengguna tetap mempertahankan batasan antara hubungan artifisial dan autentik. Implikasi penelitian ini menekankan pentingnya literasi digital emosional dan integrasi AI sebagai instrumen pendukung, bukan pengganti, dalam layanan kesehatan mental dan pendidikan.",6,-1,0.2312862,0.37374735,0.27204525,0.6422454,0.23336741,0.6422454,0.3505383
"The evaluation of AI companions relative to family, friends, and mental health professionals among young adults: The role of social support and AI beliefs",Cindy H. Liu|Jiawei Wu|Angela Zhao|Lijuan Wang|Tiffany Yip,2026,0,Open Access,2026-05-01,"Background Generative AI is increasingly used for emotional support, but little empirical work has examined how young adults evaluate AI companions relative to human sources of support. Objective This study examined how college students comparatively evaluate AI companions relative to family, friends, and mental-health professionals, and whether perceived human support and beliefs about AI are associated with these evaluations. Methods Ninety-two undergraduates rated AI companions relative to each human source on a five-point scale and completed measures of perceived social support, beliefs about AI's supportive potential (MIDUS-AI), and perceived AI capabilities. Cumulative link mixed models, Spearman correlations, and sensitivity analyses were conducted. Results Students rated AI companions as significantly lower than family, friends, and mental-health professionals, with no differences across targets. A one-SD increase in MIDUS-AI more than doubled the odds of a more favorable comparative AI rating (OR = 2.13, 95% CI [1.40, 3.23]); a one-SD increase in perceived AI capabilities raised those odds by approximately 69% (OR = 1.69, [1.08, 2.62]); and a one-SD increase in perceived family support reduced them by 43% (OR = 0.57, [0.38, 0.86]). Latent-scale ICC was .25. Conclusions College students perceived AI companions as inferior to family, friends, and mental-health professionals in direct comparisons. Findings describe comparative evaluations and do not support inferences about absolute AI appraisals or AI use.",the evaluation of ai companions relative to family friends and mental health professionals among young adults the role of social support and ai beliefs,0,"The evaluation of AI companions relative to family, friends, and mental health professionals among young adults: The role of social support and AI beliefs. Background Generative AI is increasingly used for emotional support, but little empirical work has examined how young adults evaluate AI companions relative to human sources of support. Objective This study examined how college students comparatively evaluate AI companions relative to family, friends, and mental-health professionals, and whether perceived human support and beliefs about AI are associated with these evaluations. Methods Ninety-two undergraduates rated AI companions relative to each human source on a five-point scale and completed measures of perceived social support, beliefs about AI's supportive potential (MIDUS-AI), and perceived AI capabilities. Cumulative link mixed models, Spearman correlations, and sensitivity analyses were conducted. Results Students rated AI companions as significantly lower than family, friends, and mental-health professionals, with no differences across targets. A one-SD increase in MIDUS-AI more than doubled the odds of a more favorable comparative AI rating (OR = 2.13, 95% CI [1.40, 3.23]); a one-SD increase in perceived AI capabilities raised those odds by approximately 69% (OR = 1.69, [1.08, 2.62]); and a one-SD increase in perceived family support reduced them by 43% (OR = 0.57, [0.38, 0.86]). Latent-scale ICC was .25. Conclusions College students perceived AI companions as inferior to family, friends, and mental-health professionals in direct comparisons. Findings describe comparative evaluations and do not support inferences about absolute AI appraisals or AI use.",5,-1,0.18871991,0.3165241,0.42141628,0.64079547,0.32608306,0.64079547,0.37870777
A Three-Layered Framework and Measurement Toolkit for Understanding Emotional and Relational Engagement with AI,Chuqi Chen|Huiguang Ren|Junsheng Liu|Fangfang Tian|Fanlong Wang,2026,0,Open Access,2026-09-07,"As generative artificial intelligence (AI) becomes increasingly embedded in emerging adults’ academic, work, and social lives, interactions with AI increasingly involve emotional disclosure and relational engagement beyond instrumental use. However, empirical research has been constrained by the lack of validated instruments capturing behavioral, cognitive, and emotional aspects of human-AI engagement. This study developed and validated a three-scale measurement toolkit using a regionally representative sample of college students from 26 universities in Shanghai (N = 1406, Mage = 18.98, SD = 1.25, 59.7% female). The toolkit includes a Multidimensional AI Use Scale, a Perceived Uniqueness of AI Interaction Scale, and an AI Emotional Attachment Scale. Split-sample exploratory and confirmatory factor analyses supported clear factor structures, satisfactory reliability, and evidence of discriminant and criterion-related validity. Together, these instruments provide a psychometrically sound framework for examining behavioral use, cognitive perceptions, and affective attachment in human-AI engagement among emerging adults.",a three layered framework and measurement toolkit for understanding emotional and relational engagement with ai,0,"A Three-Layered Framework and Measurement Toolkit for Understanding Emotional and Relational Engagement with AI. As generative artificial intelligence (AI) becomes increasingly embedded in emerging adults’ academic, work, and social lives, interactions with AI increasingly involve emotional disclosure and relational engagement beyond instrumental use. However, empirical research has been constrained by the lack of validated instruments capturing behavioral, cognitive, and emotional aspects of human-AI engagement. This study developed and validated a three-scale measurement toolkit using a regionally representative sample of college students from 26 universities in Shanghai (N = 1406, Mage = 18.98, SD = 1.25, 59.7% female). The toolkit includes a Multidimensional AI Use Scale, a Perceived Uniqueness of AI Interaction Scale, and an AI Emotional Attachment Scale. Split-sample exploratory and confirmatory factor analyses supported clear factor structures, satisfactory reliability, and evidence of discriminant and criterion-related validity. Together, these instruments provide a psychometrically sound framework for examining behavioral use, cognitive perceptions, and affective attachment in human-AI engagement among emerging adults.",5,-1,0.22967747,0.334782,0.29111466,0.6099479,0.3055533,0.6099479,0.3542151
TALKING TO MACHINES: A CORRELATIONAL STUDY OF EXTRAVERSION AND EMOTIONAL ATTACHMENT TO AI CHATBOTS,SILLA JACOB 1 MANJULIKA KARMAKAR 2 JUHI SOLAMAN 3|ANGELIN ROJA 4,2026,0,Open Access,2026-03-27,"Abstract: The increasing use of AI chatbots has changed the way people seek information and support. Users start to develop emotional bonds with these chatbots as they become more conversational. However, it is unclear whether certain aspects of personality influence the strength of these connections. This study aims to understand if there exists a correlation between extraversion and level of emotional attachment to AI chatbots. Data were collected from undergraduate students aged 18-25 who have interacted with AI. Participants completed a self-report questionnaire consisting of two sections: one assessing their extraversion and another measuring their emotional attachment to AI, both using a Likert-type scale. It was hypothesized that a relationship between extraversion and level of attachment to AI chatbots does exist, with individuals lower in extraversion expected to report stronger attachment. The collected data will be analyzed using correlational statistical methods to determine whether the hypothesis is supported. AI chatbots are increasingly used for assistance and everyday problem-solving, which may affect the ways individuals emotionally respond to these systems. Understanding the psychological aspects that affect user engagement becomes even more important as interactions with AI increase. Examining the relationship between personality traits and emotional attachment to AI may contribute to the growing field of human–AI interaction research. The results of this study may shed light on how various personality traits affect how people relate to and engage with AI-based communication tools. Keywords: Generative Artificial Intelligence, AI Dependency, Academic Performance, Technostress, Cognitive Engagement, Higher Education.",talking to machines a correlational study of extraversion and emotional attachment to ai chatbots,0,"TALKING TO MACHINES: A CORRELATIONAL STUDY OF EXTRAVERSION AND EMOTIONAL ATTACHMENT TO AI CHATBOTS. Abstract: The increasing use of AI chatbots has changed the way people seek information and support. Users start to develop emotional bonds with these chatbots as they become more conversational. However, it is unclear whether certain aspects of personality influence the strength of these connections. This study aims to understand if there exists a correlation between extraversion and level of emotional attachment to AI chatbots. Data were collected from undergraduate students aged 18-25 who have interacted with AI. Participants completed a self-report questionnaire consisting of two sections: one assessing their extraversion and another measuring their emotional attachment to AI, both using a Likert-type scale. It was hypothesized that a relationship between extraversion and level of attachment to AI chatbots does exist, with individuals lower in extraversion expected to report stronger attachment. The collected data will be analyzed using correlational statistical methods to determine whether the hypothesis is supported. AI chatbots are increasingly used for assistance and everyday problem-solving, which may affect the ways individuals emotionally respond to these systems. Understanding the psychological aspects that affect user engagement becomes even more important as interactions with AI increase. Examining the relationship between personality traits and emotional attachment to AI may contribute to the growing field of human–AI interaction research. The results of this study may shed light on how various personality traits affect how people relate to and engage with AI-based communication tools. Keywords: Generative Artificial Intelligence, AI Dependency, Academic Performance, Technostress, Cognitive Engagement, Higher Education.",5,-1,0.2114189,0.37047893,0.23026572,0.5998733,0.27008167,0.5998733,0.3364237
Can interaction with generative artificial intelligence enhance learning autonomy? A longitudinal study from comparative perspectives of virtual companionship and knowledge acquisition preferences,Zehang Xie|Xinzhu Wu|Yunxiang Xie,2024,53,Open Access,2024-06-30,"Abstract Background With the development of artificial intelligence (AI) technology, generative AI has been widely used in the field of education and represents a groundbreaking shift in overcoming the constraints of time and space within educational activities. However, previous literature has not paid enough attention to AI‐involved teaching patterns, and it is necessary to evaluate the effects of this learning pattern. Objective s Based on the social presence theory and the community of inquiry model, the main purpose of this study is to evaluate whether and how interaction frequency with chatbots (IFC) affects people's learning autonomy (LA) under two preferences: knowledge acquisition and virtual companionship, and whether social presence (SP) plays a mediating role. Methods The 1‐year longitudinal study was designed to be conducted from May 2022 to May 2023 and included three rounds of surveys of 1155 undergraduate students on their use of robots for learning. Results and Conclusions For learners preferring virtual companionship, no direct correlation was found between IFC and LA. However, SP acted as a mediating factor, enhancing LA through increased chatbot interactions. This suggests that while direct interactions may not directly influence LA, the resulting SP can foster it. Conversely, for learners favouring knowledge acquisition, higher IFC negatively impacted both SP and LA. Despite this, a strong sense of SP consistently correlated positively with LA, indicating it could offset some negative effects of frequent chatbot use.",can interaction with generative artificial intelligence enhance learning autonomy a longitudinal study from comparative perspectives of virtual companionship and knowledge acquisition preferences,53,"Can interaction with generative artificial intelligence enhance learning autonomy? A longitudinal study from comparative perspectives of virtual companionship and knowledge acquisition preferences. Abstract Background With the development of artificial intelligence (AI) technology, generative AI has been widely used in the field of education and represents a groundbreaking shift in overcoming the constraints of time and space within educational activities. However, previous literature has not paid enough attention to AI‐involved teaching patterns, and it is necessary to evaluate the effects of this learning pattern. Objective s Based on the social presence theory and the community of inquiry model, the main purpose of this study is to evaluate whether and how interaction frequency with chatbots (IFC) affects people's learning autonomy (LA) under two preferences: knowledge acquisition and virtual companionship, and whether social presence (SP) plays a mediating role. Methods The 1‐year longitudinal study was designed to be conducted from May 2022 to May 2023 and included three rounds of surveys of 1155 undergraduate students on their use of robots for learning. Results and Conclusions For learners preferring virtual companionship, no direct correlation was found between IFC and LA. However, SP acted as a mediating factor, enhancing LA through increased chatbot interactions. This suggests that while direct interactions may not directly influence LA, the resulting SP can foster it. Conversely, for learners favouring knowledge acquisition, higher IFC negatively impacted both SP and LA. Despite this, a strong sense of SP consistently correlated positively with LA, indicating it could offset some negative effects of frequent chatbot use.",5,-1,0.3482694,0.35753968,0.22057636,0.58220863,0.31946707,0.58220863,0.3656122
The Double-Edged Sword Effect of Interaction Frequency with AI on College Students: The Moderating Role of Peer Support,Wenyan Sun|Zhanfeng Jiang|Shenyang Hai,2025,5,Open Access,2025-09-16,"Generative artificial intelligence (AI) has become an indispensable resource in contemporary higher education, providing substantial benefits to both students and institutions. As its adoption accelerates, it is important to balance these advantages against potential risks that may arise from students' varying levels of interaction with AI. Whereas most prior studies have focused on the favorable outcomes of AI for college students, the present research investigates its ""double-edged sword"" effects. Guided by social affiliation theory, a new model has been developed and empirically tested to clarify how and under what conditions the frequency of student-AI interaction influences social needs and behaviors. Longitudinal data obtained from 388 undergraduates showed that AI interaction frequency can shape prosocial behavior and problematic mobile phone use through a dual pathway involving the need for affiliation and feelings of loneliness. Furthermore, peer support moderates the indirect effect of AI interaction frequency on college students' prosocial behavior via their need for affiliation. The results showed that peer support did not significantly moderate the indirect relationship between AI interaction frequency and problematic mobile phone use through loneliness. Overall, our study extends the framework of the social affiliation theory and provides practical insights that guide the appropriate use of AI by college students, thereby supporting the development of healthy social skills and technology engagement in the age of AI.",the double edged sword effect of interaction frequency with ai on college students the moderating role of peer support,5,"The Double-Edged Sword Effect of Interaction Frequency with AI on College Students: The Moderating Role of Peer Support. Generative artificial intelligence (AI) has become an indispensable resource in contemporary higher education, providing substantial benefits to both students and institutions. As its adoption accelerates, it is important to balance these advantages against potential risks that may arise from students' varying levels of interaction with AI. Whereas most prior studies have focused on the favorable outcomes of AI for college students, the present research investigates its ""double-edged sword"" effects. Guided by social affiliation theory, a new model has been developed and empirically tested to clarify how and under what conditions the frequency of student-AI interaction influences social needs and behaviors. Longitudinal data obtained from 388 undergraduates showed that AI interaction frequency can shape prosocial behavior and problematic mobile phone use through a dual pathway involving the need for affiliation and feelings of loneliness. Furthermore, peer support moderates the indirect effect of AI interaction frequency on college students' prosocial behavior via their need for affiliation. The results showed that peer support did not significantly moderate the indirect relationship between AI interaction frequency and problematic mobile phone use through loneliness. Overall, our study extends the framework of the social affiliation theory and provides practical insights that guide the appropriate use of AI by college students, thereby supporting the development of healthy social skills and technology engagement in the age of AI.",10,-1,0.39450365,0.40825742,0.5604186,0.5230732,0.4796875,0.5604186,0.47318807
"A Q Methodological Study on Algorithmic Intimacy, Social Connection, Well-Being, and the Boundaries of Autonomy in University Students’ Conversational Artificial Intelligence Experiences",Kyoung Yeon Moon|Taeeun Shim,2026,0,Open Access,2026-07-22,"This study explores how university students experience conversational artificial intelligence (AI) in the era of generative AI from the perspectives of algorithmic intimacy, social connection, well-being, and autonomy, and identifies their subjective meaning structures. Specifically, it examines how university students perceive conversational AI in relation to emotional regulation, self-understanding, relational boundaries, and autonomy, and how these perceptions relate to intimacy and well-being. Unlike previous studies focused primarily on AI use and acceptance, this study analyses how students interpret their experiences with conversational AI and negotiate relational boundaries. Using Q methodology, we developed 40 Q statements from literature review and in-depth interviews. Fifty-six university students in South Korea with experience using conversational AI completed the Q-sorting process. A four-factor solution explained 55% of the total variance and yielded four distinct types: (1) Relationship-Negating Instrumentalists, (2) Selective Emotional Utilizers, (3) Reflective Distancers, and (4) Autonomy Defenders. Although none of the groups viewed AI as a complete substitute for human relationships, they differed in their acceptance of algorithmic intimacy, use of AI for emotional support and regulation, concerns about dependence, and efforts to protect autonomy. These findings suggest that conversational AI experiences involve negotiating intimacy and boundaries rather than producing uniformly positive or negative outcomes. This study complements variable-centred approaches by identifying distinct subjective meaning structures in university students' human-AI relationship experiences.",a q methodological study on algorithmic intimacy social connection well being and the boundaries of autonomy in university students conversational artificial intelligence experiences,0,"A Q Methodological Study on Algorithmic Intimacy, Social Connection, Well-Being, and the Boundaries of Autonomy in University Students’ Conversational Artificial Intelligence Experiences. This study explores how university students experience conversational artificial intelligence (AI) in the era of generative AI from the perspectives of algorithmic intimacy, social connection, well-being, and autonomy, and identifies their subjective meaning structures. Specifically, it examines how university students perceive conversational AI in relation to emotional regulation, self-understanding, relational boundaries, and autonomy, and how these perceptions relate to intimacy and well-being. Unlike previous studies focused primarily on AI use and acceptance, this study analyses how students interpret their experiences with conversational AI and negotiate relational boundaries. Using Q methodology, we developed 40 Q statements from literature review and in-depth interviews. Fifty-six university students in South Korea with experience using conversational AI completed the Q-sorting process. A four-factor solution explained 55% of the total variance and yielded four distinct types: (1) Relationship-Negating Instrumentalists, (2) Selective Emotional Utilizers, (3) Reflective Distancers, and (4) Autonomy Defenders. Although none of the groups viewed AI as a complete substitute for human relationships, they differed in their acceptance of algorithmic intimacy, use of AI for emotional support and regulation, concerns about dependence, and efforts to protect autonomy. These findings suggest that conversational AI experiences involve negotiating intimacy and boundaries rather than producing uniformly positive or negative outcomes. This study complements variable-centred approaches by identifying distinct subjective meaning structures in university students' human-AI relationship experiences.",6,-1,0.34270474,0.445863,0.2747997,0.5517993,0.32207984,0.5517993,0.38744932
The impact of loneliness on university students’ attitudes toward generative AI: the mediating role of meaning in life and the moderating roles of academic engagement and gender,Mingyue Cui|Xi Chen|Pu Sun|Ke Ma|Xiaohong Xu|Ling Yan,2026,2,NOT Open Access,2026-01-01,,the impact of loneliness on university students attitudes toward generative ai the mediating role of meaning in life and the moderating roles of academic engagement and gender,2,The impact of loneliness on university students’ attitudes toward generative AI: the mediating role of meaning in life and the moderating roles of academic engagement and gender.,5,-1,0.25424266,0.33868533,0.5427282,0.49436444,0.27568826,0.5427282,0.38114178
Artificial Intimacy and Human Connection: A Comparative Study on Student Experiences of AI Voice Feature and Professors in Academic and Emotional Support,Angelita Damilig|Anna Leigh Botones,2025,0,Open Access,2025-08-13,"This qualitative study explores the lived experiences of seventeen (17) undergraduate students as they interact with university professors and Artificial Intelligence (AI), specifically ChatGPT 4o with voice feature, in academic and emotional support contexts. Using a comparative phenomenological research design and Interpretative Phenomenological Analysis (IPA), the study investigates how students perceive differences in clarity, accessibility, empathy, authority, and confidence when engaging with artificial and human connection as sources. Guided by Social Presence Theory and inductive thematic analysis, findings reveal five (5) core themes namely 1) Clarity and Structure vs Rich Context, 2) Availability and Accessibility, 3) Emotional Presence and Empathy, 4) Trust and Professional Authority, and 5) Impact on Academic Confidence. The results reveal that while an AI offers a cognitive efficiency and emotional safety because of its simulated empathy, professors provide irreplaceable connection or relational depth, embodied empathy, and pedagogical wisdom. Therefore, AI functions not as a replacement or a substitute but as a scaffold that prepares students for more confident human interaction. The study concludes that artificial intimacy, though simulated, plays a transformative role in contemporary education by bridging gaps in access and ease anxiety, strengthening the case for human-AI collaboration in academic and emotional support.",artificial intimacy and human connection a comparative study on student experiences of ai voice feature and professors in academic and emotional support,0,"Artificial Intimacy and Human Connection: A Comparative Study on Student Experiences of AI Voice Feature and Professors in Academic and Emotional Support. This qualitative study explores the lived experiences of seventeen (17) undergraduate students as they interact with university professors and Artificial Intelligence (AI), specifically ChatGPT 4o with voice feature, in academic and emotional support contexts. Using a comparative phenomenological research design and Interpretative Phenomenological Analysis (IPA), the study investigates how students perceive differences in clarity, accessibility, empathy, authority, and confidence when engaging with artificial and human connection as sources. Guided by Social Presence Theory and inductive thematic analysis, findings reveal five (5) core themes namely 1) Clarity and Structure vs Rich Context, 2) Availability and Accessibility, 3) Emotional Presence and Empathy, 4) Trust and Professional Authority, and 5) Impact on Academic Confidence. The results reveal that while an AI offers a cognitive efficiency and emotional safety because of its simulated empathy, professors provide irreplaceable connection or relational depth, embodied empathy, and pedagogical wisdom. Therefore, AI functions not as a replacement or a substitute but as a scaffold that prepares students for more confident human interaction. The study concludes that artificial intimacy, though simulated, plays a transformative role in contemporary education by bridging gaps in access and ease anxiety, strengthening the case for human-AI collaboration in academic and emotional support.",6,-1,0.37086236,0.48699006,0.3992056,0.5420395,0.39676118,0.5420395,0.43917173
Enhancing Software Engineering Education through Peer-to-Peer Project-Based Learning: An Empirical Study with Rust Programming,MinSuk Lee,2026,0,Open Access,2026-03-25,"This empirical investigation delves into the integration of peer-to-peer approaches within projectbased learning (PBL) methodologies for software engineering education. Specifically, it examines a case study of teaching the Rust programming language to 27 university students through a four-week intensive program. Students collaborated in small teams of three to four members, developing multi-user network games while utilizing GitHub for version control, Slack for team communication, and ChatGPT as a recommended learning assistant. The methodology employed mixed-methods data collection, including pre- and post-course surveys to assess knowledge progression, automated extraction of GitHub analytics and Slack metrics, and five-point scale peer evaluations of teammate contributions. Quantitative analysis examined response distributions,collaboration tool usage patterns, and correlations between engagement levels and learning outcomes.",enhancing software engineering education through peer to peer project based learning an empirical study with rust programming,0,"Enhancing Software Engineering Education through Peer-to-Peer Project-Based Learning: An Empirical Study with Rust Programming. This empirical investigation delves into the integration of peer-to-peer approaches within projectbased learning (PBL) methodologies for software engineering education. Specifically, it examines a case study of teaching the Rust programming language to 27 university students through a four-week intensive program. Students collaborated in small teams of three to four members, developing multi-user network games while utilizing GitHub for version control, Slack for team communication, and ChatGPT as a recommended learning assistant. The methodology employed mixed-methods data collection, including pre- and post-course surveys to assess knowledge progression, automated extraction of GitHub analytics and Slack metrics, and five-point scale peer evaluations of teammate contributions. Quantitative analysis examined response distributions,collaboration tool usage patterns, and correlations between engagement levels and learning outcomes.",9,4,0.53139085,0.28156167,0.20550632,0.114017926,0.24674024,0.53139085,0.2758434
